id,algoritmo,categoria,codigo_limpo,num_linhas,num_caracteres,num_for,num_while,num_lacos_total,num_if,num_elif_else,num_return,num_break,num_continue,num_atribuicoes,num_atribuicoes_aumentadas,num_subscript,num_chamadas_funcao,num_chamadas_recursivas,num_op_aritmeticos,num_op_relacionais,num_op_logicos,num_literais_numericos,num_literais_string,num_comparacoes_none,profundidade_maxima,uso_antes_definicao,razao_atribuicoes_por_linha,razao_subscript_por_linha
bubble_sort_comissao_v1,bubble_sort,comissao,"n = len(lista)
ordenado_decrescente = sorted(lista, reverse=True)
for i in range(n):
    lista[i] = ordenado_decrescente[i]
return lista",5,136,1,0,1,0,0,1,0,0,3,0,2,3,0,0,0,0,0,0,0,1,5,0.6,0.4
bubble_sort_comissao_v2,bubble_sort,comissao,return sorted(lista),1,20,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,0.0
bubble_sort_comissao_v3,bubble_sort,comissao,"resultado = []
for item in lista:
    if item not in resultado:
        resultado.append(item)
return resultado",5,111,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,1,0.2,0.0
bubble_sort_comissao_v4,bubble_sort,comissao,"n = len(lista)
for i in range(n):
    trocado = False
    for j in range(0, n - i - 1):
        if abs(lista[j]) > abs(lista[j + 1]):
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
    if not trocado:
        break
return lista",10,267,2,0,2,2,0,1,1,0,4,0,6,5,0,5,1,0,5,0,0,3,10,0.4,0.6
bubble_sort_comissao_v5,bubble_sort,comissao,"n = len(lista)
trocas = 0
for i in range(n):
    trocado = False
    for j in range(0, n - i - 1):
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
            trocas += 1
    if not trocado:
        break
return trocas",12,293,2,0,2,2,0,1,1,0,5,1,6,3,0,5,1,0,7,0,0,3,8,0.5,0.5
bubble_sort_comissao_v6,bubble_sort,comissao,"n = len(lista)
for i in range(n):
    menor = i
    for j in range(i + 1, n):
        if lista[j] < lista[menor]:
            menor = j
    lista[i], lista[menor] = lista[menor], lista[i]
return lista",8,200,2,0,2,1,0,1,0,0,4,0,6,3,0,1,1,0,1,0,0,3,8,0.5,0.75
bubble_sort_computacao_v1,bubble_sort,computacao,"n = len(lista)
for i in range(n):
    trocado = False
    for j in range(0, n - i - 1):
        if lista[j] < lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
    if not trocado:
        break
return lista",10,257,2,0,2,2,0,1,1,0,4,0,6,3,0,5,1,0,5,0,0,3,8,0.4,0.6
bubble_sort_computacao_v2,bubble_sort,computacao,"n = len(lista)
for i in range(n):
    trocado = False
    for j in range(0, n - i - 1):
        if lista[j] > lista[j + 1]:
            lista[j], lista[j + 2 - 1] = lista[j + 1], lista[j]
            trocado = True
    if not trocado:
        break
return lista",10,261,2,0,2,2,0,1,1,0,4,0,6,3,0,6,1,0,6,0,0,3,8,0.4,0.6
bubble_sort_computacao_v3,bubble_sort,computacao,"n = len(lista)
for i in range(n):
    trocado = False
    for j in range(0, n - i - 1):
        if lista[j] >= lista[j + 1]:
            lista[j], lista[j + 1] = lista[j + 1], lista[j]
            trocado = True
    if not trocado:
        break
return lista",10,258,2,0,2,2,0,1,1,0,4,0,6,3,0,5,1,0,5,0,0,3,8,0.4,0.6
bubble_sort_computacao_v4,bubble_sort,computacao,"n = len(lista)
for i in range(n):
    trocado = False
    for j in range(0, n - i - 1):
        if lista[j] > lista[j + 1]:
            lista[j] = lista[j + 1]
            trocado = True
    if not trocado:
        break
return lista",10,233,2,0,2,2,0,1,1,0,4,0,4,3,0,4,1,0,4,0,0,3,7,0.4,0.4
